epoch,acc,loss,lr,val_acc,val_loss
61,0.767058823,0.668721611,5.00E-06,0.589999974,1.139182448
62,0.764470588,0.676052251,5.00E-06,0.579999983,1.148352385
63,0.760823528,0.676529176,5.00E-06,0.629999995,1.164720535
64,0.768117645,0.662110855,5.00E-06,0.660000026,1.092866421
65,0.766470587,0.648714814,5.00E-06,0.639999986,1.052164555
66,0.767529407,0.665781187,5.00E-06,0.629999995,1.088277817
67,0.763411765,0.672333413,5.00E-06,0.629999995,1.024927258
68,0.762117646,0.667073245,5.00E-06,0.689999998,0.930206835
69,0.773647055,0.651209287,5.00E-06,0.610000014,1.099698663
70,0.774823527,0.654449985,5.00E-06,0.620000005,1.068017483
71,0.763294117,0.667395071,5.00E-06,0.629999995,1.042106509
72,0.762470586,0.668559115,5.00E-06,0.660000026,1.012279987
73,0.767058825,0.66956401,5.00E-06,0.649999976,1.112066746
74,0.766470587,0.662372802,5.00E-06,0.680000007,0.979318142
75,0.773764706,0.648883447,5.00E-06,0.600000024,1.28535676
76,0.771764705,0.659428762,5.00E-06,0.670000017,1.03276217
77,0.77305882,0.655232548,5.00E-06,0.730000019,0.92277509
78,0.756117646,0.685039335,5.00E-06,0.699999988,0.995358884
79,0.763411765,0.678096727,5.00E-06,0.699999988,0.98832804
80,0.768941175,0.667692499,5.00E-06,0.670000017,0.990960479
81,0.769058824,0.666372717,5.00E-06,0.639999986,1.059876084
82,0.773058823,0.650963474,5.00E-06,0.560000002,1.381356001
83,0.768588235,0.663479354,5.00E-06,0.649999976,1.123256683
84,0.768941173,0.669445609,5.00E-06,0.620000005,1.232371569
85,0.761529412,0.676698408,5.00E-06,0.610000014,1.190646648
86,0.772588231,0.649749952,5.00E-06,0.670000017,0.959284425
87,0.771176468,0.652879517,5.00E-06,0.639999986,1.010825753
88,0.763647063,0.680948288,5.00E-06,0.589999974,1.258577466
89,0.766000001,0.661443058,5.00E-06,0.649999976,1.048587918
90,0.774588237,0.655596201,5.00E-06,0.689999998,0.914026022
91,0.771058819,0.662321487,5.00E-06,0.660000026,0.900388122
92,0.764117644,0.669757247,5.00E-06,0.519999981,1.346881747
93,0.769647056,0.657175398,5.00E-06,0.709999979,0.867766738
94,0.764235289,0.656256794,5.00E-06,0.629999995,1.078510761
95,0.761294119,0.678255362,5.00E-06,0.629999995,1.061554074
96,0.767058823,0.672245143,5.00E-06,0.670000017,0.991421342
97,0.778588233,0.634007823,5.00E-06,0.649999976,1.104702353
98,0.773411764,0.661403226,5.00E-06,0.639999986,1.019564033
99,0.762705883,0.680730591,5.00E-06,0.639999986,1.094559908
